2025-09-29T21:50:37.947Z [INFO] [SharedStateManager] Persistence not configured. 
2025-09-29T21:51:36.735Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.15016a58-2fc0-46dc-89e5-4aaf26b400ba"}
2025-09-29T21:51:36.735Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.bc937a14-83cf-4940-9d2b-38b64aa2d1d6"}
2025-09-29T21:51:36.735Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.7b552328-3b68-499a-849a-9f288f6bd56b"}
2025-09-29T21:51:36.735Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.476eb33c-0ab5-453a-8f4b-095e8222586b"}
2025-09-29T21:51:36.736Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.bc937a14-83cf-4940-9d2b-38b64aa2d1d6"}
2025-09-29T21:51:36.736Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.bc937a14-83cf-4940-9d2b-38b64aa2d1d6"}
2025-09-29T21:51:36.736Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.bc937a14-83cf-4940-9d2b-38b64aa2d1d6"}
2025-09-29T21:51:36.736Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.7b552328-3b68-499a-849a-9f288f6bd56b"}
2025-09-29T21:51:36.736Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.7b552328-3b68-499a-849a-9f288f6bd56b"}
2025-09-29T21:51:36.736Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.7b552328-3b68-499a-849a-9f288f6bd56b"}
2025-09-29T21:51:36.736Z [INFO] [SharedStateManager] State updated successfully {"path":"system.coordinator.status"}
2025-09-29T21:51:36.738Z [INFO] [SharedStateManager] State updated successfully {"path":"system"}
2025-09-29T21:51:36.740Z [INFO] [SharedStateManager] State updated successfully {"path":"test.value"}
2025-09-29T21:51:36.740Z [INFO] [SharedStateManager] State updated successfully {"path":"test.nested.value"}
2025-09-29T21:51:36.741Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.count"}
2025-09-29T21:51:36.743Z [INFO] [SharedStateManager] State updated successfully {"path":"system"}
2025-09-29T21:51:36.744Z [INFO] [SharedStateManager] Subscription created {"path":"test.watchable","subscriptionId":"768e90eb-6481-4834-9185-137109616a32"}
2025-09-29T21:51:36.744Z [INFO] [SharedStateManager] State updated successfully {"path":"test.watchable"}
2025-09-29T21:51:36.744Z [INFO] [SharedStateManager] State updated successfully {"path":"test.watchable"}
2025-09-29T21:51:36.744Z [INFO] [SharedStateManager] Subscription removed {"subscriptionId":"768e90eb-6481-4834-9185-137109616a32"}
2025-09-29T21:51:36.744Z [INFO] [SharedStateManager] State updated successfully {"path":"test.watchable"}
2025-09-29T21:51:36.744Z [INFO] [SharedStateManager] State updated successfully {"path":"system"}
2025-09-29T21:51:36.744Z [INFO] [SharedStateManager] State updated successfully {"path":"system.coordinator"}
2025-09-29T21:51:36.745Z [INFO] [SharedStateManager] State updated successfully {"path":"system.coordinator.status"}
2025-09-29T21:51:36.745Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.52d692d3-9ecb-40cd-8366-104105493dde"}
2025-09-29T21:51:36.745Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.52d692d3-9ecb-40cd-8366-104105493dde"}
2025-09-29T21:51:36.745Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.69de1f3f-754f-477f-9820-b69df7b43b22"}
2025-09-29T21:51:36.745Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.69de1f3f-754f-477f-9820-b69df7b43b22"}
2025-09-29T21:51:36.745Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.4e1628c6-527c-4631-8e44-d59d5ffa53b1"}
2025-09-29T21:51:36.745Z [INFO] [SharedStateManager] State updated successfully {"path":"system.coordinator.status"}
2025-09-29T21:51:36.745Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.4e1628c6-527c-4631-8e44-d59d5ffa53b1"}
2025-09-29T21:51:36.745Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.4e1628c6-527c-4631-8e44-d59d5ffa53b1"}
2025-09-29T21:51:36.745Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.4e1628c6-527c-4631-8e44-d59d5ffa53b1.research_results"}
2025-09-29T21:51:36.745Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.4e1628c6-527c-4631-8e44-d59d5ffa53b1"}
2025-09-29T21:51:36.745Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.4e1628c6-527c-4631-8e44-d59d5ffa53b1.analysis_results"}
2025-09-29T21:51:36.745Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.4e1628c6-527c-4631-8e44-d59d5ffa53b1"}
2025-09-29T22:09:47.029Z [INFO] [SharedStateManager] Persistence not configured. 
2025-09-29T22:09:47.032Z [INFO] [SharedStateManager] State updated successfully {"path":"system"}
2025-09-29T22:09:47.032Z [INFO] [SharedStateManager] State updated successfully {"path":"system.coordinator"}
2025-09-29T22:09:47.032Z [INFO] [SharedStateManager] State updated successfully {"path":"system.coordinator.status"}
2025-09-29T22:09:47.033Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.2ea9b2cc-84cd-4704-ad2d-5546ddc0f131"}
2025-09-29T22:09:47.033Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.2ea9b2cc-84cd-4704-ad2d-5546ddc0f131"}
2025-09-29T22:09:47.038Z [INFO] [SharedStateManager] State updated successfully {"path":"system"}
2025-09-29T22:09:47.039Z [INFO] [SharedStateManager] State updated successfully {"path":"system.coordinator"}
2025-09-29T22:09:47.039Z [INFO] [SharedStateManager] State updated successfully {"path":"system.coordinator.status"}
2025-09-29T22:09:47.039Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.f3e2fbe8-2cfa-41ff-acea-70a179bc1b48"}
2025-09-29T22:09:47.039Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.f3e2fbe8-2cfa-41ff-acea-70a179bc1b48"}
2025-09-29T22:09:47.039Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.0e1af59f-6024-45ac-b501-8f6f0e2a69f3"}
2025-09-29T22:09:47.039Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.0e1af59f-6024-45ac-b501-8f6f0e2a69f3"}
2025-09-29T22:09:47.039Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.a731bd07-989c-4db3-86f9-09e8bd5a3b5e"}
2025-09-29T22:09:47.039Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.a731bd07-989c-4db3-86f9-09e8bd5a3b5e"}
2025-09-29T22:09:47.040Z [INFO] [SharedStateManager] State updated successfully {"path":"system"}
2025-09-29T22:09:47.040Z [INFO] [SharedStateManager] State updated successfully {"path":"system.coordinator"}
2025-09-29T22:09:47.040Z [INFO] [SharedStateManager] State updated successfully {"path":"system.coordinator.status"}
2025-09-29T22:09:47.041Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.02007229-01f4-4527-a771-940fc239fd4e"}
2025-09-29T22:09:47.041Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.02007229-01f4-4527-a771-940fc239fd4e"}
2025-09-29T22:09:47.041Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.bbed607a-3998-400f-92cb-96c4d105b4c6"}
2025-09-29T22:09:47.041Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.bbed607a-3998-400f-92cb-96c4d105b4c6"}
2025-09-29T22:09:47.041Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.bbed607a-3998-400f-92cb-96c4d105b4c6"}
2025-09-29T22:09:47.041Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.bbed607a-3998-400f-92cb-96c4d105b4c6"}
2025-09-29T22:09:47.041Z [INFO] [SharedStateManager] State updated successfully {"path":"system.coordinator.status"}
2025-09-29T22:09:47.042Z [INFO] [SharedStateManager] State updated successfully {"path":"system"}
2025-09-29T22:09:47.042Z [INFO] [SharedStateManager] State updated successfully {"path":"system.coordinator"}
2025-09-29T22:09:47.042Z [INFO] [SharedStateManager] State updated successfully {"path":"system.coordinator.status"}
2025-09-29T22:09:47.042Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.efd9dc59-d699-4b5e-a863-411605eda76f"}
2025-09-29T22:09:47.042Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.efd9dc59-d699-4b5e-a863-411605eda76f"}
2025-09-29T22:09:47.042Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.512359b5-9197-4474-96da-0fede88aca5d"}
2025-09-29T22:09:47.042Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.a35af09b-6c8e-4f6d-9b41-ae18923b26a0"}
2025-09-29T22:09:47.042Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.173ea95e-1c72-4d01-b7df-4ff8d6579d75"}
2025-09-29T22:09:47.043Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.512359b5-9197-4474-96da-0fede88aca5d"}
2025-09-29T22:09:47.043Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.512359b5-9197-4474-96da-0fede88aca5d"}
2025-09-29T22:09:47.043Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.512359b5-9197-4474-96da-0fede88aca5d"}
2025-09-29T22:09:47.043Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.a35af09b-6c8e-4f6d-9b41-ae18923b26a0"}
2025-09-29T22:09:47.043Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.a35af09b-6c8e-4f6d-9b41-ae18923b26a0"}
2025-09-29T22:09:47.043Z [INFO] [SharedStateManager] State updated successfully {"path":"tasks.a35af09b-6c8e-4f6d-9b41-ae18923b26a0"}
2025-09-29T22:09:47.043Z [INFO] [SharedStateManager] State updated successfully {"path":"system.coordinator.status"}
2025-09-29T22:09:47.043Z [INFO] [SharedStateManager] State updated successfully {"path":"system"}
2025-09-29T22:09:47.044Z [INFO] [SharedStateManager] State updated successfully {"path":"test.value"}
2025-09-29T22:09:47.044Z [INFO] [SharedStateManager] State updated successfully {"path":"test.nested.value"}
2025-09-29T22:09:47.044Z [INFO] [SharedStateManager] State updated successfully {"path":"agents.count"}
2025-09-29T22:09:47.045Z [INFO] [SharedStateManager] State updated successfully {"path":"system"}
2025-09-29T22:09:47.045Z [INFO] [SharedStateManager] Subscription created {"path":"test.watchable","subscriptionId":"e249c644-8734-4580-a416-c34311705f35"}
2025-09-29T22:09:47.045Z [INFO] [SharedStateManager] State updated successfully {"path":"test.watchable"}
2025-09-29T22:09:47.045Z [INFO] [SharedStateManager] State updated successfully {"path":"test.watchable"}
2025-09-29T22:09:47.045Z [INFO] [SharedStateManager] Subscription removed {"subscriptionId":"e249c644-8734-4580-a416-c34311705f35"}
2025-09-29T22:09:47.045Z [INFO] [SharedStateManager] State updated successfully {"path":"test.watchable"}
2025-09-29T22:09:47.045Z [INFO] [SharedStateManager] State updated successfully {"path":"system"}
2025-09-29T22:09:47.046Z [INFO] [SharedStateManager] State updated successfully {"path":"system.coordinator"}
